Datum,PM10,kraj
2014-02-16,25.7,Koper
2014-02-17,32.1,Koper
2014-02-18,43.3,Koper
2014-02-19,29.1,Koper
2014-02-20,18.7,Koper
2014-02-21,52.5,Koper
2014-02-22,16.5,Koper
2014-02-23,10.4,Koper
2014-02-24,25.2,Koper
2014-02-25,29,Koper
2014-02-26,24,Koper
2014-02-27,13.7,Koper
2014-02-28,13.8,Koper
2014-03-01,9.2,Koper
2014-03-02,20.5,Koper
2014-03-03,29.5,Koper
2014-03-04,21.6,Koper
2014-03-05,26.9,Koper
2014-03-06,26.9,Koper
2014-03-07,34.6,Koper
2014-03-08,35.2,Koper
2014-03-09,27.7,Koper
2014-03-10,37.1,Koper
2014-03-11,28.9,Koper
2014-03-12,34.3,Koper
2014-03-13,45.6,Koper
2014-03-14,55.3,Koper
2014-03-15,48,Koper
2014-03-16,44.2,Koper
2014-03-17,53.7,Koper
2014-03-18,52.9,Koper
2014-03-19,56.6,Koper
2014-03-20,15.9,Koper
2014-03-21,23.6,Koper
2014-03-22,26.4,Koper
2014-03-23,13.2,Koper
2014-03-24,7.8,Koper
2014-03-25,9.5,Koper
2014-03-26,17,Koper
2014-03-27,25.2,Koper
2014-03-28,NA,Koper
2014-03-29,NA,Koper
2014-03-30,NA,Koper
2014-03-31,NA,Koper
2014-04-01,NA,Koper
2014-04-02,30.7,Koper
2014-04-03,33.9,Koper
2014-04-04,29.2,Koper
2014-04-05,25.7,Koper
2014-04-06,29.9,Koper
2014-04-07,24.2,Koper
2014-04-08,29.7,Koper
2014-04-09,8.2,Koper
2014-04-10,11.6,Koper
2014-04-11,11.9,Koper
2014-04-12,15.5,Koper
2014-04-13,13,Koper
2014-04-14,15.8,Koper
2014-04-15,6.1,Koper
2014-04-16,9.7,Koper
2014-04-17,11.3,Koper
2014-04-18,18.2,Koper
2014-04-19,19.1,Koper
2014-04-20,12.2,Koper
2014-04-21,18.9,Koper
2014-04-22,14.7,Koper
2014-04-23,14.5,Koper
2014-04-24,17.3,Koper
2014-04-25,16.3,Koper
2014-04-26,10.6,Koper
2014-04-27,18.3,Koper
2014-04-28,18.3,Koper
2014-04-29,17.8,Koper
2014-04-30,19.2,Koper
2014-05-01,19.9,Koper
2014-05-02,17.3,Koper
2014-05-03,9.5,Koper
2014-05-04,8.1,Koper
2014-05-05,15.8,Koper
2014-05-06,18.2,Koper
2014-05-07,17.1,Koper
2014-05-08,9,Koper
2014-05-09,9.8,Koper
2014-05-10,16.9,Koper
2014-05-11,14.6,Koper
2014-05-12,8.1,Koper
2014-05-13,7.5,Koper
2014-05-14,7.6,Koper
2014-05-15,11.8,Koper
2014-05-16,13.7,Koper
2014-05-17,12.4,Koper
2014-05-18,8.8,Koper
